ref,query,dim,k,problem size,simt time(ms),tc time(ms),speedup
256,64,8,16,2097152,0.49986,1.04637,0.4777086499039537
256,64,16,16,4194304,1.08894,0.5054,2.1546102097348636
256,64,32,16,8388608,0.49804,0.5022,0.9917164476304261
256,64,64,16,16777216,0.50082,1.1467,0.4367489317171013
256,64,128,16,33554432,0.50448,0.51294,0.9835068429056032
256,64,256,16,67108864,1.07545,1.11599,0.9636735096192618
256,64,512,16,134217728,0.566,1.18655,0.47701318949896754
256,64,1024,16,268435456,1.22073,0.67001,1.8219578812256536
256,64,2048,16,536870912,1.39553,0.87338,1.597849733220362
256,128,2,16,1048576,0.50522,0.50971,0.9911910694316376
256,128,4,16,2097152,1.07581,1.10385,0.9745979979163835
256,128,8,16,4194304,0.50571,0.5088,0.9939268867924528
256,128,16,16,8388608,0.50655,1.05374,0.48071630573006624
256,128,32,16,16777216,0.50735,0.5108,0.9932458888018793
256,128,64,16,33554432,0.50217,0.5137,0.9775549931866847
256,128,128,16,67108864,1.15802,1.09632,1.0562791885580853
256,128,256,16,134217728,0.53334,1.08863,0.48991852144438425
256,128,512,16,268435456,1.11658,0.5896,1.8937924016282224
256,128,1024,16,536870912,1.2928,0.69192,1.8684240952711295
256,128,2048,16,1073741824,1.49129,0.91163,1.6358500707523884
512,16,2,16,262144,0.57824,1.14934,0.5031061304748812
512,16,4,16,524288,0.55236,0.556,0.9934532374100717
512,16,8,16,1048576,0.55665,0.55751,0.998457426772614
512,16,16,16,2097152,1.14623,0.5716,2.005300909727082
512,16,32,16,4194304,0.55655,1.15091,0.48357386763517557
512,16,64,16,8388608,1.18633,0.55285,2.1458442615537674
512,16,128,16,16777216,1.14828,0.57911,1.982835730690197
512,16,256,16,33554432,0.59501,1.1722,0.5076010919638287
512,16,512,16,67108864,1.19545,0.66318,1.8026026116589764
512,16,1024,16,134217728,1.3862,0.81383,1.7033041298551295
512,16,2048,16,268435456,1.62173,0.98714,1.6428571428571428
512,32,2,16,524288,1.1359,0.58138,1.9537995803089199
512,32,4,16,1048576,0.59349,1.15301,0.5147310084040901
512,32,8,16,2097152,0.58777,0.58973,0.9966764451528667
512,32,16,16,4194304,1.16988,1.15456,1.0132691241685143
512,32,32,16,8388608,0.62322,1.17442,0.5306619437679876
512,32,64,16,16777216,0.63336,0.63718,0.9940048337989266
512,32,128,16,33554432,1.19898,0.65361,1.8343966585578555
512,32,256,16,67108864,0.67019,1.24301,0.539167021986951
512,32,512,16,134217728,0.71726,1.25541,0.5713352609904334
512,32,1024,16,268435456,1.421,1.41543,1.003935199903916
512,32,2048,16,536870912,1.62454,1.64208,0.989318425411673
512,64,2,16,1048576,0.60323,1.17276,0.514367816091954
512,64,4,16,2097152,0.60991,1.20268,0.5071257524861144
512,64,8,16,4194304,0.5961,0.5988,0.9954909819639278
512,64,16,16,8388608,0.58562,1.20044,0.4878377928093033
512,64,32,16,16777216,0.63178,0.63637,0.992787214984993
512,64,64,16,33554432,0.6264,1.18405,0.5290317131877876
512,64,128,16,67108864,0.65276,0.65516,0.9963367726967459
512,64,256,16,134217728,1.24452,1.276,0.9753291536050157
512,64,512,16,268435456,0.73595,1.28133,0.5743641372636245
512,64,1024,16,536870912,0.90076,1.4475,0.622286701208981
512,64,2048,16,1073741824,1.08712,1.67087,0.6506311083447546
512,128,2,16,2097152,0.60317,1.12595,0.5356987432834495
512,128,4,16,4194304,1.15333,1.14475,1.0074950862633762
512,128,8,16,8388608,1.17724,0.60026,1.9612168060507114
512,128,16,16,16777216,0.59646,0.60207,0.9906821465942498
512,128,32,16,33554432,0.64261,1.21923,0.5270621621843294
512,128,64,16,67108864,0.63884,0.64248,0.9943344539907856
512,128,128,16,134217728,1.18017,1.18651,0.9946565979216357
512,128,256,16,268435456,0.68404,1.27138,0.5380295427016313
512,128,512,16,536870912,0.74347,1.35463,0.5488362135786156
512,128,1024,16,1073741824,1.53798,0.93811,1.63944526761254
512,128,2048,16,2147483648,1.64367,1.62745,1.0099665120280192
512,256,2,16,4194304,0.63935,0.64217,0.9956086394568415
512,256,4,16,8388608,0.63075,1.18772,0.5310595089751793
512,256,8,16,16777216,0.62277,0.62733,0.9927310984649228
512,256,16,16,33554432,1.17668,0.62938,1.869585941720423
512,256,32,16,67108864,0.71102,1.23542,0.5755289699049716
512,256,64,16,134217728,1.23839,0.67345,1.8388744524463585
512,256,128,16,268435456,1.24736,0.68545,1.8197680355970531
512,256,256,16,536870912,1.27822,0.72561,1.761579912073979
512,256,512,16,1073741824,1.39062,1.48222,0.9382008068977614
512,256,1024,16,2147483648,0.99072,1.54499,0.6412468689117728
512,256,2048,16,4294967296,1.81436,1.77367,1.0229411333562612
1024,16,2,16,524288,0.63456,0.63852,0.9937981582409322
1024,16,4,16,1048576,1.21813,0.65707,1.8538816260063613
1024,16,8,16,2097152,0.65273,1.19588,0.5458156336756196
1024,16,16,16,4194304,0.69782,0.65868,1.0594218740511325
1024,16,32,16,8388608,1.27974,0.68576,1.8661630891273915
1024,16,64,16,16777216,0.7015,1.22826,0.5711331477048834
1024,16,128,16,33554432,1.24746,0.7201,1.7323427301763645
1024,16,256,16,67108864,1.32559,0.77407,1.7124937021199633
1024,16,512,16,134217728,1.49383,1.5686,0.9523332908325896
1024,16,1024,16,268435456,1.64496,1.63344,1.0070526006464884
1024,16,2048,16,536870912,1.94277,2.01029,0.966412806112551
1024,32,2,16,1048576,0.75091,1.26353,0.594295347162315
1024,32,4,16,2097152,0.79133,1.35227,0.5851863902918796
1024,32,8,16,4194304,1.28212,1.29132,0.9928755072329088
1024,32,16,16,8388608,1.45195,0.83963,1.7292736086133178
1024,32,32,16,16777216,1.38703,1.38629,1.0005337988443976
